Viscosidad
47.9
48.8
48.6
43.2
43.0
47.9
48.1
48.0
43.0
42.8
48.6
48.3
47.9
43.5
43.1
48.0
47.2
48.3
43.1
43.2
48.4
48.9
48.5
43.0
43.6
48.1
48.6
48.1
42.9
43.2
48.0
48.0
48.0
43.6
43.5
48.6
47.5
48.3
43.3
43.0
