Viscosidad
47.9
47.9
48.6
48.0
48.4
48.1
48.0
48.6
48.8
48.1
48.3
47.2
48.9
48.6
48.0
47.5
48.6
48.0
47.9
48.3
48.5
48.1
48.0
48.3
43.2
43.0
43.2
43.1
43.0
42.9
43.6
43.3
43.0
42.8
43.1
43.2
43.6
43.2
43.5
43.0
